fire_year,total_weighted_smoke_impact,total_acres_burned,year,average_aqi
1961,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0
1964,0.0003716095924239,28.468121417707916,0.0,0.0
1965,0.0005909573579867,43.78149365396728,0.0,0.0
1966,0.0005161734210561,26.964909642299364,0.0,0.0
1967,0.0075407513509869,504.8215108144538,0.0,0.0
1968,0.0005468543422251,40.72331573682478,0.0,0.0
1969,0.0069265923300308,395.2557094807656,0.0,0.0
1970,0.0477926276189455,2350.625105202271,0.0,0.0
1971,0.0196836494672002,1114.7417312994444,0.0,0.0
1972,0.0120800598417979,591.6349943300996,1972.0,24.45247419972809
1973,0.006742224549461,332.8418544907346,1973.0,31.878804823262527
1974,0.0239737360260828,1370.4882359864257,1974.0,34.12574871947069
1975,0.0191255723651773,1064.2860013582788,1975.0,36.10670995087192
1976,0.076485643748986,4254.954466632996,1976.0,37.737000434624754
1977,0.0390515513392192,2231.8375455336923,1977.0,35.37542885037849
1978,0.0449143784108652,4031.374980158777,1978.0,54.08081447963801
1979,0.0310950564545625,2274.603240224412,1979.0,36.77101357533338
1980,0.0641736117985645,4400.4194197972,1980.0,41.64084440244698
1981,0.0379952678951035,4243.581667381071,1981.0,34.565197878992
1982,0.0139701518712572,884.736939721803,1982.0,32.88679132429824
1983,0.0102474416267691,585.8465601358844,1983.0,40.68332068174915
1984,0.1454038091878642,13260.667993829044,1984.0,41.2266052576853
1985,1.0600371516127065,148588.19114668356,1985.0,40.22056170960103
1986,0.6359891719958406,61548.69316500976,1986.0,43.93583060594231
1987,7.718024436177432,944678.9380443976,1987.0,49.19651331497354
1988,1.7996585043470568,364647.0620160757,1988.0,48.21769128200446
1989,0.817470839127698,95593.96182363229,1989.0,39.17840123065982
1990,0.6996509481086735,77964.71584443364,1990.0,41.04182544299599
1991,5.945358093400204,733195.3444236178,1991.0,36.03955468436404
1992,0.8501878986779384,67151.40234171425,1992.0,38.24413134020935
1993,1.3138283511744495,166934.95831247405,1993.0,36.83452727473715
1994,3.3974591119144235,335062.0687022068,1994.0,33.50485174047296
1995,2.095015880008742,178994.75979441212,1995.0,33.65747502278929
1996,7.124465821642759,820064.8421512465,1996.0,30.814404325896216
1997,1.3840090947658312,148822.68506835346,1997.0,31.473175135744402
1998,3.0527046287995883,557629.2621236427,1998.0,33.64717456257159
1999,4.3228961623881705,441740.6064805941,1999.0,34.900552318879534
2000,6.980941972006275,595900.7431285268,2000.0,35.76330741403438
2001,6.256333496268591,649134.1763034639,2001.0,36.614806641107855
2002,4.109828556007583,438247.3507973142,2002.0,35.63284418002315
2003,6.78728872455778,531549.6735056158,2003.0,39.94816488528439
2004,5.95935540295291,556049.59306258,2004.0,37.63078425096051
2005,12.61117055117368,984572.9695335,2005.0,44.944289743292096
2006,14.96751590592333,1839423.7862023928,2006.0,39.08601820356235
2007,17.849358757206964,1797468.3600502508,2007.0,37.743561929555376
2008,17.415029913218643,1599402.1530526474,2008.0,29.158002362937275
2009,25.41787578964797,3640434.0699423663,2009.0,24.805214237820053
2010,20.3414449486894,1601697.4963371544,2010.0,29.75240785510702
2011,37.83165223742172,4859569.981645179,2011.0,27.564982838623926
2012,18.368865142440978,1386610.4664892545,2012.0,28.165021246153056
2013,16.36298771888867,1145473.457565844,2013.0,29.722113214013444
2014,32.4780560240011,3049966.406114235,2014.0,25.05620463592254
2015,25.272443145820407,2303846.769351892,2015.0,24.398263648136044
2016,37.84177089405235,3800290.841564511,2016.0,24.103059480535403
2017,25.65377945901218,3867709.473362885,2017.0,27.55570627807461
2018,26.21033318667589,2453311.273688314,2018.0,26.81190487018667
2019,11.88908468821084,857168.6891018213,2019.0,26.78008751588665
2020,11.03901861075138,779953.4893835373,2020.0,24.69555145861172
2021,0.0,0.0,2021.0,23.59531047403125
